id,uri,prefLabel,definition
SDN:L35::MAN0023,http://vocab.nerc.ac.uk/collection/L35/current/MAN0023/,iRobot,"A US-based company that designs and builds robots in the areas of mapping and navigation, human-robot interaction, and physical solutions. The company was founded in 1990 by Massachusetts Institute of Technology roboticists. The company inspired the first Micro Rovers used by NASA, deployed the first ground robots used by U.S. Forces in conflict, brought the first self-navigating FDA-approved remote presence robots to hospitals and introduced the first practical home robot with Roomba."
SDN:L35::MAN0006,http://vocab.nerc.ac.uk/collection/L35/current/MAN0006/,LEGOS CNRS and NKE Instrumentation,"Collaboration between the Laboratoire d'Etudes en Geophysique et Oceanographie Spatiales (France), the Centre National de la Recherche Scientifique (France) and NKE Instrumentation (France)."
SDN:L35::MAN0321,http://vocab.nerc.ac.uk/collection/L35/current/MAN0321/,GeoMax AG,A Swiss company which is part of Hexagon AB. GeoMax AG specialises in geospatial solutions including survery instrumentation and software.
SDN:L35::MAN0018,http://vocab.nerc.ac.uk/collection/L35/current/MAN0018/,ASV Global,"A global company, headquartered in Porchester (UK) that design and manufacture unmanned and autonomous marine systems for military, security, offshore energy and scientific applications. It has facilities in the UK, USA and Brazil."
SDN:L35::MAN0322,http://vocab.nerc.ac.uk/collection/L35/current/MAN0322/,Xeos Technologies Inc.,A Canadian company founded in 2004. Xeos Technologies specialises in the design and manufacture of telemetry and data collection products.
SDN:L35::MAN0293,http://vocab.nerc.ac.uk/collection/L35/current/MAN0293/,General Electric Healthcare Technologies Inc.,"A US-based company established in 2023, headquartered in Chicago, Illinois. Formerly a subsidary of General Electric, GE Healthcare specialises in manufacturing and distributing medical technology."
SDN:L35::MAN0124,http://vocab.nerc.ac.uk/collection/L35/current/MAN0124/,Datawell B.V.,A manufacturing company based in the Netherlands that manufactures the Waverider wave measurement sensor unit.
SDN:L35::MAN0314,http://vocab.nerc.ac.uk/collection/L35/current/MAN0314/,C and C Technologies Inc.,"A provider of instrument systems for globally corrected positioning, with applications in hydrographic activities, deepwater seafloor mapping, subsea surveys, and offshore oilfield exloration. C and C Technologies was acquired by Oceaneering International Inc. on April 2nd, 2015."
SDN:L35::MAN0022,http://vocab.nerc.ac.uk/collection/L35/current/MAN0022/,Rockland Scientific,"A Canadian company that specialises in systems that measure marine turbulence. It designs and manufactures high accuracy instrumentation for oceanographic research that are deployable in coastal and deep sea applications.  It was founded in 2005, by co-founders Rolf Lueck and Fabian Wolk."
SDN:L35::MAN0251,http://vocab.nerc.ac.uk/collection/L35/current/MAN0251/,Navitar,A US-based developer and manufacturer of innovative optical solutions for clients and enterprises across the globe. Products range from high magnification motorized zoom imaging systems to fisheye projection lenses used in a wide variety of industries. Founded in 1946 as Egleet Optical and rebranded to Navitar in 1954.
SDN:L35::MAN0019,http://vocab.nerc.ac.uk/collection/L35/current/MAN0019/,AutoNaut,A UK-based company that is part of the Seiche Group. It manufactures the AutoNaut range of wave propelled unmanned surface vessels (USV). It was formed in 2016 from MOST (Autonomous Vessels) Ltd.
SDN:L35::MAN0320,http://vocab.nerc.ac.uk/collection/L35/current/MAN0320/,Litre Meter,"A company founded in 1975 in Aylesbury, UK. Liter Meter specialises in the design, manufacture and supply of flow meters."
SDN:L35::MAN0005,http://vocab.nerc.ac.uk/collection/L35/current/MAN0005/,Pyro Science and Graz University of Technology,"Collaboration between Pyro Science, Germany and the Graz University of Technology, Austria."
SDN:L35::MAN0009,http://vocab.nerc.ac.uk/collection/L35/current/MAN0009/,ecoSUB Robotics,"A UK-based company that designs, manufactures and sells small low cost Autonomous Underwater Vehicles (AUVs) for environmental monitoring in research, defense, oil and gas industries. The company was spun out of Planet Ocean Limited, a marine science technology specialist, following extensive collaboration with the Marine Autonomous Robotics Systems (MARS) group at the National Oceanography Centre (NOC), UK. It was incorporated on the 27 April 2016. It is headquartered in Camberley, UK."
SDN:L35::MAN0140,http://vocab.nerc.ac.uk/collection/L35/current/MAN0140/,Hydroid,A manufacturer of Unmanned Underwater Vehicles (UUVs). It was established in 2001 by the inventors of the REMUS UUV. It became a subsidiary of Kongsberg Maritime in 2008. It has been part of the Huntington Ingalls Industries since 2020.
SDN:L35::MAN0008,http://vocab.nerc.ac.uk/collection/L35/current/MAN0008/,Unisense,A manufacturer of microsensors and instrumentation for microscale measurement based in Denmark.
SDN:L35::MAN0250,http://vocab.nerc.ac.uk/collection/L35/current/MAN0250/,Teledyne FLIR,"A leading developer and supplier of a wide range of infrared imaging products, including cooled and uncooled infrared detectors, camera cores, and finished cameras. Founded as FLIR Systems in 1978 and acquired by Teledyne Technologies in 2021, FLIR has rebranded as Teledyne FLIR. Teledyne FLIR operates in many locations around the globe and employs a total of over 3000 dedicated employees."
SDN:L35::MAN0160,http://vocab.nerc.ac.uk/collection/L35/current/MAN0160/,Honeywell,"An engineering company founded in 1906 by Mark Honeywell under the name Honeywell Speciality Company. It operates in four areas of business: aerospace, building technologies, performance materials and technologies (PMT), and safety and productivity solutions (SPS)."
